"","Rank","feature","Top50"
"1125",34,0,1
"1126",35,0,1
"1127",36,0,1
"1128",37,0,1
"1129",38,0,1
"1130",39,0,1
"1131",40,0,1
"1132",41,0,1
"1133",42,0,1
"1134",43,0,1
"1135",44,0,1
"1136",45,0,1
"1137",46,0,1
"1138",47,0,1
"1139",48,0,1
"1140",50,0,1
"1141",51,0,0
"1142",52,0,0
"1143",53,0,0
"1144",54,0,0
"1145",56,0,0
"1146",57,0,0
"1147",58,0,0
"1148",59,0,0
"1149",60,0,0
"1150",61,0,0
"1151",62,0,0
"1152",63,0,0
"1153",64,0,0
"1154",65,0,0
"1155",66,0,0
"1156",67,0,0
"1157",68,0,0
"1158",69,0,0
"1159",70,0,0
"1160",72,0,0
"1161",74,0,0
"1162",75,0,0
"1163",76,0,0
"1164",77,0,0
"1165",78,0,0
"1166",79,0,0
"1167",80,0,0
"1168",81,0,0
"1169",82,0,0
"1170",83,0,0
"1171",84,0,0
"1172",85,0,0
"1173",86,0,0
"1174",87,0,0
"1175",88,0,0
"1176",89,0,0
"1177",90,0,0
"1178",91,0,0
"1179",92,0,0
"1180",93,0,0
"1181",94,0,0
"1182",95,0,0
"1183",96,0,0
"1184",97,0,0
"1185",98,0,0
"1186",1,0,1
"1187",2,0,1
"1188",3,0,1
"1189",4,0,1
"1190",5,0,1
"1191",6,0,1
"1192",7,0,1
"1193",8,0,1
"1194",9,0,1
"1195",10,0,1
"1196",11,0,1
"1197",12,0,1
"1198",15,0,1
"1199",16,0,1
"1200",17,0,1
"1201",18,0,1
"1202",19,0,1
"1203",20,0,1
"1204",22,0,1
"1205",23,0,1
"1206",24,0,1
"1207",26,0,1
"1208",27,0,1
"1209",28,0,1
"1210",29,0,1
"1211",30,0,1
"1212",31,0,1
"1213",32,0,1
"1214",33,0,1
"1215",34,0,1
"1216",35,0,1
"1217",36,0,1
"1218",37,0,1
"1219",38,0,1
"1220",39,0,1
"1221",40,0,1
"1222",41,0,1
"1223",42,0,1
"1224",43,0,1
"1225",44,0,1
"1226",45,0,1
"1227",46,0,1
"1228",47,0,1
"1229",48,0,1
"1230",49,0,1
"1231",50,0,1
"1232",51,0,0
"1233",53,0,0
"1234",54,0,0
"1235",55,0,0
"1236",56,0,0
"1237",57,0,0
"1238",58,0,0
"1239",59,0,0
"1240",60,0,0
"1241",61,0,0
"1242",62,0,0
"1243",63,0,0
"1244",64,0,0
"1245",65,0,0
"1246",66,0,0
"1247",67,0,0
"1248",68,0,0
"1249",70,0,0
"1250",71,0,0
"1251",73,0,0
"1252",74,0,0
"1253",75,0,0
"1254",76,0,0
"1255",77,0,0
"1256",78,0,0
"1257",79,0,0
"1258",80,0,0
"1259",81,0,0
"1260",82,0,0
"1261",83,0,0
"1262",85,0,0
"1263",86,0,0
"1264",87,0,0
"1265",88,0,0
"1266",89,0,0
"1267",90,0,0
"1268",91,0,0
"1269",92,0,0
"1270",93,0,0
"1271",94,0,0
"1272",95,0,0
"1273",96,0,0
"1274",97,0,0
"1275",98,0,0
"1276",99,0,0
"1277",100,0,0
"1278",1,0,1
"1279",2,0,1
"1280",3,0,1
"1281",4,0,1
"1282",5,0,1
"1283",6,0,1
"1284",7,0,1
"1285",8,0,1
"1286",9,0,1
"1287",10,0,1
"1288",11,0,1
"1289",12,0,1
"1290",13,0,1
"1291",14,0,1
"1292",15,0,1
"1293",16,0,1
"1294",17,0,1
"1295",18,0,1
"1296",19,0,1
"1297",20,0,1
"1298",22,0,1
"1299",23,0,1
"1300",24,0,1
"1301",26,0,1
"1302",27,0,1
"1303",28,0,1
"1304",29,0,1
"1305",30,0,1
"1306",31,0,1
"1307",32,0,1
"1308",33,0,1
"1309",34,0,1
"1310",35,0,1
"1311",36,0,1
"1312",37,0,1
"1313",38,0,1
"1314",39,0,1
"1315",40,0,1
"1316",42,0,1
"1317",43,0,1
"1318",44,0,1
"1319",45,0,1
"1320",47,0,1
"1321",48,0,1
"1322",50,0,1
"1323",51,0,0
"1324",52,0,0
"1325",53,0,0
"1326",54,0,0
"1327",56,0,0
"1328",57,0,0
"1329",58,0,0
"1330",59,0,0
"1331",60,0,0
"1332",61,0,0
"1333",62,0,0
"1334",63,0,0
"1335",64,0,0
"1336",65,0,0
"1337",66,0,0
"1338",67,0,0
"1339",68,0,0
"1340",69,0,0
"1341",70,0,0
"1342",71,0,0
"1343",72,0,0
"1344",73,0,0
"1345",74,0,0
"1346",75,0,0
"1347",76,0,0
"1348",77,0,0
"1349",78,0,0
"1350",79,0,0
"1351",81,0,0
"1352",82,0,0
"1353",83,0,0
"1354",84,0,0
"1355",85,0,0
"1356",86,0,0
"1357",87,0,0
"1358",88,0,0
"1359",89,0,0
"1360",90,0,0
"1361",91,0,0
"1362",93,0,0
"1363",95,0,0
"1364",96,0,0
"1365",97,0,0
"1366",98,0,0
"1367",99,0,0
"1368",100,0,0
"1369",1,0,1
"1370",2,0,1
"1371",3,0,1
"1372",4,0,1
"1373",5,0,1
"1374",6,0,1
"1375",7,0,1
"1376",8,0,1
"1377",9,0,1
"1378",10,0,1
"1379",11,0,1
"1380",12,0,1
"1381",13,0,1
"1382",14,0,1
"1383",15,0,1
"1384",16,0,1
"1385",17,0,1
"1386",18,0,1
"1387",20,0,1
"1388",21,0,1
"1389",22,0,1
"1390",23,0,1
"1391",25,0,1
"1392",26,0,1
"1393",27,0,1
"1394",28,0,1
"1395",31,0,1
"1396",32,0,1
"1397",33,0,1
"1398",34,0,1
"1399",35,0,1
"1400",36,0,1
"1401",37,0,1
"1402",38,0,1
"1403",39,0,1
"1404",40,0,1
"1405",41,0,1
"1406",42,0,1
"1407",43,0,1
"1408",44,0,1
"1409",45,0,1
"1410",46,0,1
"1411",47,0,1
"1412",48,0,1
"1413",49,0,1
"1414",50,0,1
"1415",51,0,0
"1416",52,0,0
"1417",53,0,0
"1418",55,0,0
"1419",56,0,0
"1420",57,0,0
"1421",58,0,0
"1422",59,0,0
"1423",60,0,0
"1424",61,0,0
"1425",63,0,0
"1426",64,0,0
"1427",65,0,0
"1428",66,0,0
"1429",67,0,0
"1430",68,0,0
"1431",69,0,0
"1432",70,0,0
"1433",71,0,0
"1434",72,0,0
"1435",73,0,0
"1436",74,0,0
"1437",75,0,0
"1438",76,0,0
"1439",78,0,0
"1440",79,0,0
"1441",80,0,0
"1442",81,0,0
"1443",82,0,0
"1444",83,0,0
"1445",84,0,0
"1446",85,0,0
"1447",86,0,0
"1448",87,0,0
"1449",88,0,0
"1450",89,0,0
"1451",90,0,0
"1452",91,0,0
"1453",92,0,0
"1454",93,0,0
"1455",94,0,0
"1456",95,0,0
"1457",96,0,0
"1458",97,0,0
"1459",98,0,0
"1460",99,0,0
"1461",100,0,0
"1462",1,0,1
"1463",2,0,1
"1464",3,0,1
"1465",4,0,1
"1466",5,0,1
"1467",6,0,1
"1468",7,0,1
"1469",8,0,1
"1470",9,0,1
"1471",10,0,1
"1472",11,0,1
"1473",13,0,1
"1474",14,0,1
"1475",15,0,1
"1476",17,0,1
"1477",18,0,1
"1478",19,0,1
"1479",20,0,1
"1480",21,0,1
"1481",22,0,1
"1482",23,0,1
"1483",24,0,1
"1484",25,0,1
"1485",26,0,1
"1486",27,0,1
"1487",28,0,1
"1488",29,0,1
"1489",31,0,1
"1490",32,0,1
"1491",33,0,1
"1492",34,0,1
